,fecha,hora_declarada,ruta,operador,tipo_aeronave,total_abordo,pasajeros_abordo,tripulacion_abordo,total_fatalidades,pasajeros_fatalidades,tripulacion_fatalidades,tierra_fatalidades
2398,1969-06-28,1950,"Near Talas, Kyrgyzstan",Aeroflot,Ilyushin IL-14,40,35,5,40,35,5,0
2399,1969-07-06,2022,"Near Monroe, Georgia",Air South,Beechcraft B-99,14,12,2,14,12,2,0
2400,1969-07-12,,"Hitauda, Nepal",Royal Nepal Airlines,Douglas DC-3,35,31,4,35,31,4,0
2401,1969-07-15,657,"New York City, New York",New York Airways,de Havilland Canada DHC-6 Twin Otter 200,14,11,3,3,1,2,0
2402,1969-07-25,1745,"Kekaha, Hawaii",Trans Isle Air,De Havilland DH-104 Dove,13,11,2,1,1,0,0
2403,1969-07-26,130,"Biskra, Algeria",Air Algerie,Sud Aviation SE-210 Caravelle 6N,37,30,7,33,30,3,0
2404,1969-07-26,1233,"Atlantic City, New Jersey",Trans World Airlines,Boeing 707-331C,5,0,5,5,0,5,0
2405,1969-08-03,1600,"Preobrazhenka, Ukraine",Aeroflot,Antonov An-24B,55,51,4,55,51,4,0
2406,1969-08-03,,"Uli , Nigeria",Canairelief Air,Lockheed L-1049H Super Constellation,4,0,4,4,0,4,0
2407,1969-08-19,1700,"Near Long Tieng, Laos",Air America,Pilatus Pc-6C,13,12,1,13,12,1,0
2408,1969-08-25,,"Sucre, Ecuador",TAO,Douglas C-47B,1,0,4,1,0,1,0
2409,1969-08-26,2031,"Moscow, Russia",Aeroflot,Ilyushin IL-18,102,94,8,16,16,0,0
2410,1969-08-26,945,"Khovu-Aksy, Russia",Aeroflot,Antonov AN-2,14,11,3,14,11,3,0
2411,1969-08-31,2005,"Newton, Iowa",Private Charter,Cessna 172H,3,2,1,3,2,1,0
2412,1969-09-01,1305,"Cross Bay, Russia",Aeroflot,Ilyushin IL-14P,27,22,5,22,17,5,0
2413,1969-09-02,1115,"Near Pakse, Laos",Military - Royal Lao Air Force,Douglas C-47,35,31,4,35,31,4,0
